serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
1,3dod-7100,onnxrt,detection_3d,None,lidar_point_pillars_10k_496x432_qat-p2.onnx,None,None,76.5,1,21765.87474,0.0,3dod-7100_onnxrt_kitti_mmdet3d_lidar_point_pillars_10k_496x432_qat-p2_onnx,ONR-3DOD-7100-pointPillars-lidar-10000-496x432
2,6dpose-7200,onnxrt,object_6d_pose_estimation,480x640,yolox_s_object_pose_ti_lite_640x480_57p75.onnx,accuracy_add(s)_p1%,53.843386,54.1,1,69214.826391,0.0,6dpose-7200_onnxrt_ycbv_edgeai-yolox_yolox_s_object_pose_ti_lite_640x480_57p75_onnx,onnxrt_ycbv_edgeai-yolox_yolox_s_object_pose_ti_lite_640x480_57p75_onnx
3,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,67.91,71.676,1,1804.199454,18446744073709.55,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
4,cl-0010,tflitert,classification,224,mobilenet_v2_1.0_224.tflite,accuracy_top1%,65.64,71.9,1,1300.566922,18446744073709.55,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2
5,cl-0130,tflitert,classification,224,efficientnet-lite0-fp32.tflite,accuracy_top1%,69.46,75.1,1,1517.917861,18446744073709.55,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0
6,cl-0160,tflitert,classification,224,resnet50_v1.5.tflite,accuracy_top1%,75.58,76.456,1,18597.53898,18446744073709.55,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf
7,cl-3090,tvmdlr,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,2151.387358,0.0,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv
8,cl-6090,onnxrt,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,1305.618723,0.0,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv
9,cl-6091,onnxrt,classification,512,mobilenet_v2_tv_512x512.onnx,accuracy_top1%,57.0,None,1,3581.090963,0.0,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512
10,cl-6100,onnxrt,classification,224,resnet18.onnx,accuracy_top1%,69.45,69.76,1,11382.445004,0.0,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18
11,cl-6101,onnxrt,classification,512,resnet18_512x512.onnx,accuracy_top1%,4.0,None,1,55253.263569,0.0,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512
12,cl-6102,onnxrt,classification,1024,resnet18_1024x1024.onnx,accuracy_top1%,0.0,None,1,194998.061765,0.0,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024
13,cl-6110,onnxrt,classification,224,resnet50.onnx,accuracy_top1%,75.45,76.15,1,18616.883536,0.0,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50
14,cl-6160,onnxrt,classification,224,regnet_x_400mf_tv.onnx,accuracy_top1%,72.26,72.834,1,1545.70576,0.0,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv
15,cl-6170,onnxrt,classification,224,regnet_x_800mf_tv.onnx,accuracy_top1%,74.97,75.212,1,5106.221429,0.0,cl-6170_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_onnx,ONR-CL-6170-regNetX-800mf-tv
16,cl-6360,onnxrt,classification,224,regnetx-200mf.onnx,accuracy_top1%,67.58,68.9,1,905.635756,0.0,cl-6360_onnxrt_imagenet1k_fbr-pycls_regnetx-200mf_onnx,ONR-CL-6360-regNetx-200mf
17,cl-6480,onnxrt,classification,224,mobilenet_v3_lite_small_20210429.onnx,accuracy_top1%,60.62,62.688,1,316.023963,0.0,cl-6480_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_20210429_onnx,ONR-CL-6480-mobv3-lite-small
18,cl-6490,onnxrt,classification,224,mobilenet_v3_lite_large_20210507.onnx,accuracy_top1%,71.18,72.122,1,1008.536679,0.0,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,ONR-CL-6490-mobv3-lite-large
19,od-2000,tflitert,detection,300x300,ssd_mobilenet_v1_coco_20180128.tflite,accuracy_ap[.5:.95]%,15.924639,23.0,1,7852.987062,18446744073709.55,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300
20,od-2010,tflitert,detection,300x300,ssd_mobilenet_v2_300_float.tflite,accuracy_ap[.5:.95]%,15.782375,22.0,1,12341.728626,18446744073709.55,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300
21,od-2080,tflitert,detection,320x320,ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,16.907623,22.2,1,6401.950553,18446744073709.55,od-2080_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8_tflite,TFL-OD-2080-ssd-mobV2-fpnlite-coco-tpu-8-320x320
22,od-5120,tvmdlr,detection,320x320,ssdlite_mobiledet_dsp_320x320_coco_20200519.tflite,accuracy_ap[.5:.95]%,34.204615,28.9,1,16980.947227,0.0,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320
23,od-8020,onnxrt,detection,512x512,ssd_mobilenetv2_lite_512x512_20201214_model.onnx,accuracy_ap[.5:.95]%,18.838029,25.1,1,11056.426854,0.0,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512
24,od-8040,onnxrt,detection,320x320,ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model.onnx,accuracy_ap[.5:.95]%,16.850796,20.7,1,4092.842631,0.0,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320
25,od-8200,onnxrt,detection,416,yolox_nano_lite_416x416_20220214_model.onnx,accuracy_ap[.5:.95]%,18.961569,24.8,1,10075.327503,0.0,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416
26,od-8210,onnxrt,detection,416,yolox_tiny_lite_416x416_20220217_model.onnx,accuracy_ap[.5:.95]%,23.98704,30.5,1,20583.869989,0.0,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416
27,ss-2580,tflitert,segmentation,512x512,deeplabv3_mnv2_ade20k32_float.tflite,accuracy_mean_iou%,34.616947,54.8,1,35969.703952,18446744073709.55,ss-2580_tflitert_ade20k32_mlperf_deeplabv3_mnv2_ade20k32_float_tflite,TFL-SS-2580-deeplabv3_mobv2-ade20k32-mlperf-512x512
28,ss-8610,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4.onnx,accuracy_mean_iou%,51.427313,51.08,1,22648.100557,0.0,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512
29,ss-8630,onnxrt,segmentation,512x512,unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2.onnx,accuracy_mean_iou%,49.340118,50.07,1,15627.311824,0.0,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512
