serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_32bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
1,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,68.88,71.66,71.676,1,0,0,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
2,cl-0010,tflitert,classification,224,mobilenet_v2_1.0_224.tflite,accuracy_top1%,68.62,71.51,71.9,1,0,0,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2
3,cl-0020,tflitert,classification,224,squeezenet.tflite,accuracy_top1%,54.89,55.88,49,1,0,0,cl-0020_tflitert_imagenet1k_tf1-models_squeezenet_tflite,TFL-CL-0020-SqueezeNet
4,cl-0038,tflitert,classification,224,inception_v1_224_quant.tflite,accuracy_top1%,68.54,69.1,69.63,1,0,0,cl-0038_tflitert_imagenet1k_tf1-models_inception_v1_224_quant_tflite,TFL-CL-0038-InceptionNetV1
5,cl-0040,tflitert,classification,299,inception_v3.tflite,accuracy_top1%,77.93,78.2,78,1,0,0,cl-0040_tflitert_imagenet1k_tf1-models_inception_v3_tflite,TFL-CL-0040-InceptionNetV3
6,cl-0050,tflitert,classification,224,resnet50_v1.tflite,accuracy_top1%,74.21,74.49,75.2,1,0,0,cl-0050_tflitert_imagenet1k_tf1-models_resnet50_v1_tflite,TFL-CL-0050-resNet50V1
7,cl-0060,tflitert,classification,224,resnet50_v2.tflite,accuracy_top1%,69.54,70.57,75.6,1,0,0,cl-0060_tflitert_imagenet1k_tf1-models_resnet50_v2_tflite,TFL-CL-0060-resNet50V2
8,cl-0070,tflitert,classification,224,mnasnet_1.0_224.tflite,accuracy_top1%,72.98,74.22,74.08,1,0,0,cl-0070_tflitert_imagenet1k_tf1-models_mnasnet_1.0_224_tflite,TFL-CL-0070-mnasNet
9,cl-0080,tflitert,classification,224,mobilenet_edgetpu_224_1.0_float.tflite,accuracy_top1%,75.44,75.92,75.6,1,0,0,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf
10,cl-0090,tflitert,classification,224,efficientnet-edgetpu-S_float.tflite,accuracy_top1%,76.3,76.61,77.23,1,0,0,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s
11,cl-0100,tflitert,classification,240,efficientnet-edgetpu-M_float.tflite,accuracy_top1%,77.95,78.31,78.69,1,0,0,cl-0100_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-M_float_tflite,TFL-CL-0100-efficientNet-edgeTPU-m
12,cl-0130,tflitert,classification,224,efficientnet-lite0-fp32.tflite,accuracy_top1%,64.96,74.94,75.1,1,0,0,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0
13,cl-0140,tflitert,classification,300,efficientnet-lite4-fp32.tflite,accuracy_top1%,79.93,80.72,81.5,1,0,0,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4
14,cl-0150,tflitert,classification,224,densenet.tflite,accuracy_top1%,63.47,67.39,74.98,1,0,0,cl-0150_tflitert_imagenet1k_tf1-models_densenet_tflite,TFL-CL-0150-denseNet
15,cl-0160,tflitert,classification,224,resnet50_v1.5.tflite,accuracy_top1%,75.52,75.68,76.456,1,0,0,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf
16,cl-0170,tflitert,classification,240,efficientnet-lite1-fp32.tflite,accuracy_top1%,73.89,76.53,76.7,1,0,0,cl-0170_tflitert_imagenet1k_tf-tpu_efficientnet-lite1-fp32_tflite,TFL-CL-0170-efficientNet-lite1
17,cl-0190,tflitert,classification,300,efficientnet-edgetpu-L_float.tflite,accuracy_top1%,79.57,79.85,80.62,1,0,0,cl-0190_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-L_float_tflite,TFL-CL-0190-efficientNet-edgeTPU-l
18,cl-0200,tflitert,classification,224,mobilenet_v2_float_1.4_224.tflite,accuracy_top1%,72.21,75.08,75,1,0,0,cl-0200_tflitert_imagenet1k_tf1-models_mobilenet_v2_float_1.4_224_tflite,TFL-CL-0200-mobileNetV2-1p4
19,cl-0210,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,68.88,71.66,71,1,0,0,cl-0210_tflitert_imagenet1k_tf1-models_mobilenet_v1_1.0_224_tflite,TFL-CL-0210-mobileNetV1
20,cl-0218,tflitert,classification,224,mobilenet_v1_1.0_224_quant.tflite,accuracy_top1%,68.62,70.38,70,1,0,0,cl-0218_tflitert_imagenet1k_tf1-models_mobilenet_v1_1.0_224_quant_tflite,TFL-CL-0218-mobileNetV1-qat
21,cl-0260,tflitert,classification,224,mobilenet_v3-large-minimalistic_224_1.0_float.tflite,accuracy_top1%,57.89,72.46,72.3,1,0,0,cl-0260_tflitert_imagenet1k_tf1-models_mobilenet_v3-large-minimalistic_224_1.0_float_tflite,TFL-CL-0260-mobv3-large-minimalistic
22,cl-0270,tflitert,classification,224,mobilenet_v3-small-minimalistic_224_1.0_float.tflite,accuracy_top1%,28.9,63.07,61.9,1,0,0,cl-0270_tflitert_imagenet1k_tf1-models_mobilenet_v3-small-minimalistic_224_1.0_float_tflite,TFL-CL-0270-mobv3-small-minimalistic
23,cl-3410,tvmdlr,classification,224,mobilenetv2_1.0-symbol.json,accuracy_top1%,71.7,72.48,72.04,1,0,0,cl-3410_tvmdlr_imagenet1k_gluoncv-mxnet_mobilenetv2_1.0-symbol_json,TVM-CL-3410-gluoncv-mxnet-mobv2
24,cl-3420,tvmdlr,classification,224,resnet50_v1d-symbol.json,accuracy_top1%,78.64,79.45,79.15,1,0,0,cl-3420_tvmdlr_imagenet1k_gluoncv-mxnet_resnet50_v1d-symbol_json,TVM-CL-3420-gluoncv-mxnet-resNet50-v1
25,cl-3430,tvmdlr,classification,299,xception-symbol.json,accuracy_top1%,78.35,79.69,79.56,1,0,0,cl-3430_tvmdlr_imagenet1k_gluoncv-mxnet_xception-symbol_json,TVM-CL-3430-gluoncv-mxnet-xception
26,cl-3480,tvmdlr,classification,224,hrnet_w18_small_v2_c-symbol.json,accuracy_top1%,73.99,74.79,75.1,1,0,0,cl-3480_tvmdlr_imagenet1k_gluoncv-mxnet_hrnet_w18_small_v2_c-symbol_json,TVM-CL-3480-hrnet-w18-small-v2-gluon-mxnet
27,cl-6060,onnxrt,classification,224,mobilenet_v1_20190906.onnx,accuracy_top1%,70.59,71.67,71.82,1,0,0,cl-6060_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_onnx,ONR-CL-6060-mobileNetV1
28,cl-6061,onnxrt,classification,512,mobilenet_v1_20190906_512x512.onnx,accuracy_top1%,60,72,None,1,0,0,cl-6061_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_512x512_onnx,ONR-CL-6061-mobileNetV1-512x512
29,cl-6062,onnxrt,classification,1024,mobilenet_v1_20190906_1024x1024.onnx,accuracy_top1%,None,28,None,1,0,0,cl-6062_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_1024x1024_onnx,ONR-CL-6062-mobileNetV1-1024x1024
30,cl-6070,onnxrt,classification,224,mobilenet_v2_20191224.onnx,accuracy_top1%,71.23,71.89,72.13,1,0,0,cl-6070_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_20191224_onnx,ONR-CL-6070-mobileNetV2
31,cl-6071,onnxrt,classification,512,mobilenet_v2_20191224_512x512.onnx,accuracy_top1%,60,73,None,1,0,0,cl-6071_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_20191224_512x512_onnx,ONR-CL-6071-mobileNetV2-512x512
32,cl-6072,onnxrt,classification,1024,mobilenet_v2_20191224_1024x1024.onnx,accuracy_top1%,None,19,None,1,0,0,cl-6072_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_20191224_1024x1024_onnx,ONR-CL-6072-mobileNetV2-1024x1024
33,cl-6078,onnxrt,classification,224,mobilenet_v2_qat-p2_20201213.onnx,accuracy_top1%,71.47,58.04,72.13,1,0,0,cl-6078_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_qat-p2_20201213_onnx,ONR-CL-6078-mobileNetV2-qat
34,cl-6080,onnxrt,classification,224,shufflenet_v2_x1.0.onnx,accuracy_top1%,68.95,69.84,69.36,1,0,0,cl-6080_onnxrt_imagenet1k_torchvision_shufflenet_v2_x1.0_onnx,ONR-CL-6080-shuffleNetV2
35,cl-6090,onnxrt,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,67.8,71.5,71.88,1,0,0,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv
36,cl-6098,onnxrt,classification,224,mobilenet_v2_tv_qat-p2.onnx,accuracy_top1%,71.25,67.87,71.31,1,0,0,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat
37,cl-6100,onnxrt,classification,224,resnet18.onnx,accuracy_top1%,69.54,69.86,69.76,1,0,0,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18
38,cl-6101,onnxrt,classification,512,resnet18_512x512.onnx,accuracy_top1%,70,75,None,1,0,0,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512
39,cl-6102,onnxrt,classification,1024,resnet18_1024x1024.onnx,accuracy_top1%,0,45,None,1,0,0,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024
40,cl-6110,onnxrt,classification,224,resnet50.onnx,accuracy_top1%,75,75.96,76.15,1,0,0,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50
41,cl-6111,onnxrt,classification,512,resnet50_512x512.onnx,accuracy_top1%,None,77,76.15,1,0,0,cl-6111_onnxrt_imagenet1k_torchvision_resnet50_512x512_onnx,ONR-CL-6111-resNet50-512x512
42,cl-6112,onnxrt,classification,1024,resnet50_1024x1024.onnx,accuracy_top1%,None,46,76.15,1,0,0,cl-6112_onnxrt_imagenet1k_torchvision_resnet50_1024x1024_onnx,ONR-CL-6112-resNet50-1024x1024
43,cl-6121,onnxrt,classification,512,regnetx-400mf_512x512.onnx,accuracy_top1%,69,72,None,1,0,0,cl-6121_onnxrt_imagenet1k_fbr-pycls_regnetx-400mf_512x512_onnx,ONR-CL-6121-regNetX-400mf-512x512
44,cl-6122,onnxrt,classification,1024,regnetx-400mf_1024x1024.onnx,accuracy_top1%,None,48,None,1,0,0,cl-6122_onnxrt_imagenet1k_fbr-pycls_regnetx-400mf_1024x1024_onnx,ONR-CL-6122-regNetX-400mf-1024x1024
45,cl-6131,onnxrt,classification,512,regnetx-800mf_512x512.onnx,accuracy_top1%,76,73,None,1,0,0,cl-6131_onnxrt_imagenet1k_fbr-pycls_regnetx-800mf_512x512_onnx,ONR-CL-6131-regNetX-800mf-512x512
46,cl-6132,onnxrt,classification,1024,regnetx-800mf_1024x1024.onnx,accuracy_top1%,None,50,None,1,0,0,cl-6132_onnxrt_imagenet1k_fbr-pycls_regnetx-800mf_1024x1024_onnx,ONR-CL-6132-regNetX-800mf-1024x1024
47,cl-6141,onnxrt,classification,512,regnetx-1.6gf_512x512.onnx,accuracy_top1%,78,78,None,1,0,0,cl-6141_onnxrt_imagenet1k_fbr-pycls_regnetx-1.6gf_512x512_onnx,ONR-CL-6141-regNetX-1.6gf-512x512
48,cl-6142,onnxrt,classification,1024,regnetx-1.6gf_1024x1024.onnx,accuracy_top1%,None,57,None,1,0,0,cl-6142_onnxrt_imagenet1k_fbr-pycls_regnetx-1.6gf_1024x1024_onnx,ONR-CL-6142-regNetX-1.6gf-1024x1024
49,cl-6150,onnxrt,classification,224,mobilenet_v2_1p4_qat-p2_20210112.onnx,accuracy_top1%,75.11,63.06,75.22,1,0,0,cl-6150_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_1p4_qat-p2_20210112_onnx,ONR-CL-6150-mobileNetV2-1p4-qat
