task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,19594971,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,16592142,True,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,19268977,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,25680512,True,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,21890531,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,61307643,True,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf,116876338,True,False
classification,tvmdlr,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv,45561726,True,True
classification,onnxrt,cl-6061_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_512x512_onnx,ONR-CL-6061-mobileNetV1-512x512,19585327,False,False
classification,onnxrt,cl-6062_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_1024x1024_onnx,ONR-CL-6062-mobileNetV1-1024x1024,19599606,False,False
classification,onnxrt,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv,16422237,True,False
classification,onnxrt,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512,16434458,False,False
classification,onnxrt,cl-6092_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_1024x1024_onnx,ONR-CL-6092-mobileNetV2-tv-1024x1024,16442099,False,False
classification,onnxrt,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat,15789817,True,False
classification,onnxrt,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18,53297662,True,False
classification,onnxrt,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512,53304851,False,False
classification,onnxrt,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024,53301028,False,False
classification,onnxrt,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50,117195484,True,False
classification,onnxrt,cl-6111_onnxrt_imagenet1k_torchvision_resnet50_512x512_onnx,ONR-CL-6111-resNet50-512x512,117208632,False,False
classification,onnxrt,cl-6112_onnxrt_imagenet1k_torchvision_resnet50_1024x1024_onnx,ONR-CL-6112-resNet50-1024x1024,117211668,False,False
classification,onnxrt,cl-6121_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_512x512_onnx,ONR-CL-6121-regNetX-400mf-pycls-512x512,25650562,False,False
classification,onnxrt,cl-6122_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_1024x1024_onnx,ONR-CL-6122-regNetX-400mf-pycls-1024x1024,25670722,False,False
classification,onnxrt,cl-6131_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_512x512_onnx,ONR-CL-6131-regNetX-800mf-pycls-512x512,33645337,False,False
classification,onnxrt,cl-6132_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_1024x1024_onnx,ONR-CL-6132-regNetX-800mf-pycls-1024x1024,33683936,False,False
classification,onnxrt,cl-6141_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_512x512_onnx,ONR-CL-6141-regNetX-1.6gf-pycls-512x512,42432400,False,False
classification,onnxrt,cl-6142_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_1024x1024_onnx,ONR-CL-6142-regNetX-1.6gf-pycls-1024x1024,42466368,False,False
classification,onnxrt,cl-6151_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_1p4_qat-p2_20210112_512x512_onnx,ONR-CL-6151-mobileNetV2-1p4-qat-512x512,26967725,False,False
classification,onnxrt,cl-6152_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_1p4_qat-p2_20210112_1024x1024_onnx,ONR-CL-6152-mobileNetV2-1p4-qat-1024x1024,26978627,False,False
classification,onnxrt,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv,25647351,True,False
classification,onnxrt,cl-6170_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_onnx,ONR-CL-6170-regNetX-800mf-tv,33646418,True,False
classification,onnxrt,cl-6180_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_onnx,ONR-CL-6180-regNetX-1.6gf-tv,42436019,True,False
classification,onnxrt,cl-6360_onnxrt_imagenet1k_fbr-pycls_regnetx-200mf_onnx,ONR-CL-6360-regNetx-200mf,12723040,True,True
classification,onnxrt,cl-6480_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_20210429_onnx,ONR-CL-6480-mobv3-lite-small,9598135,True,False
classification,onnxrt,cl-6488_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_qat-p2_20210429_onnx,ONR-CL-6488-mobv3-lite-small-qat,8960251,True,False
classification,onnxrt,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,ONR-CL-6490-mobv3-lite-large,18213621,True,False
depth_estimation,onnxrt,de-7300_onnxrt_nyudepthv2_fast-depth_fast-depth_onnx,ONR-DE-7300-depth-est-fast-depth-224x224,6526044,False,False
depth_estimation,onnxrt,de-7310_onnxrt_nyudepthv2_MiDaS_midas-small_onnx,ONR-DE-7310-depth-est-midas-small-256x256,77654714,False,False
detection,tflitert,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300,31381479,True,False
detection,tflitert,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300,74667807,True,False
detection,tflitert,od-2020_tflitert_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TFL-OD-2020-ssdLite-mobDet-DSP-coco-320x320,33469925,True,True
detection,tflitert,od-2030_tflitert_coco_tf1-models_ssdlite_mobiledet_edgetpu_320x320_coco_20200519_tflite,TFL-OD-2030-ssdLite-mobDet-EdgeTPU-coco-320x320,19776715,True,False
detection,tflitert,od-2080_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8_tflite,TFL-OD-2080-ssd-mobV2-fpnlite-coco-tpu-8-320x320,14309475,True,False
detection,tflitert,od-2150_tflitert_coco_google-automl_efficientdet_lite1_relu_tflite,TFL-OD-2150-efficientdet-lite1-relu-coco-384x384,22320092,False,False
detection,tvmdlr,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320,90942955,True,True
detection,onnxrt,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512,15250079,True,True
detection,onnxrt,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320,10288909,True,False
detection,onnxrt,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416,10669292,True,True
detection,onnxrt,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416,23516856,True,False
detection,onnxrt,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640,41330943,True,True
detection,onnxrt,od-8270_onnxrt_coco_edgeai-mmdet_yolox_pico_lite_320x320_20230410_model_onnx,ONR-OD-8270-yolox-pico-lite-mmdet-coco-320x320,6133583,True,True
detection,onnxrt,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416,23382190,True,True
