serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,AM62_32bits_metric,AM62_32bits_num_subgraphs,AM62_32bits_infer_time_core_ms,AM62_32bits_ddr_transfer_mb,metric_reference,run_dir,artifact_name
1,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,71.56,0,17.712391,18446744073709.55,71.676,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
2,cl-6360,onnxrt,classification,224,regnetx-200mf.onnx,accuracy_top1%,69.15,0,23.782724,0.0,68.9,cl-6360_onnxrt_imagenet1k_fbr-pycls_regnetx-200mf_onnx,ONR-CL-6360-regNetx-200mf
3,od-2010,tflitert,detection,300x300,ssd_mobilenet_v2_300_float.tflite,accuracy_ap[.5:.95]%,24.554384,0,95.644095,18446744073709.55,22.0,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300
4,od-8200,onnxrt,detection,416,yolox_nano_lite_416x416_20220214_model.onnx,accuracy_ap[.5:.95]%,10.351194,0,63.583825,0.0,24.8,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416
5,od-8270,onnxrt,detection,320,yolox_pico_lite_320x320_20230410_model.onnx,accuracy_ap[.5:.95]%,7.583481,0,38.522486,0.0,17.9,od-8270_onnxrt_coco_edgeai-mmdet_yolox_pico_lite_320x320_20230410_model_onnx,ONR-OD-8270-yolox-pico-lite-mmdet-coco-320x320
6,od-8410,onnxrt,detection,416,yolox_tiny_lite_416x416_20220318_model.onnx,accuracy_ap[.5:.95]%,22.294652,0,114.27044,0.0,23.5,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416
7,ss-8630,onnxrt,segmentation,512x512,unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2.onnx,accuracy_mean_iou%,50.46729,0,221.399232,0.0,50.07,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512
8,ss-8710,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,56.520849,0,102.529529,0.0,57.77,ss-8710_onnxrt_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,ONR-SS-8710-deeplabv3lite-mobv2-cocoseg21-512x512
